date,Departures,Arrivals
01.08.21,297,283
02.08.21,251,261
03.08.21,210,207
04.08.21,221,218
05.08.21,248,253
06.08.21,277,283
07.08.21,276,282
08.08.21,302,295
09.08.21,250,250
10.08.21,206,192
11.08.21,205,213
12.08.21,242,242
13.08.21,281,280
14.08.21,277,275
15.08.21,310,303
16.08.21,250,262
17.08.21,199,190
18.08.21,204,211
19.08.21,238,245
20.08.21,272,271
21.08.21,274,272
22.08.21,304,289
23.08.21,250,261
24.08.21,198,179
25.08.21,204,216
26.08.21,239,245
27.08.21,265,272
28.08.21,263,259
29.08.21,275,274
30.08.21,248,240
31.08.21,210,202
01.07.21,205,225
02.07.21,255,250
03.07.21,246,243
04.07.21,254,251
05.07.21,222,224
06.07.21,175,162
07.07.21,175,178
08.07.21,202,216
09.07.21,251,251
10.07.21,245,253
11.07.21,278,268
12.07.21,228,227
13.07.21,175,167
14.07.21,185,198
15.07.21,215,223
16.07.21,271,265
17.07.21,272,275
18.07.21,266,259
19.07.21,238,238
20.07.21,209,197
21.07.21,216,221
22.07.21,244,256
23.07.21,280,284
24.07.21,268,271
25.07.21,286,278
26.07.21,246,249
27.07.21,203,200
28.07.21,194,199
29.07.21,242,247
30.07.21,287,288
31.07.21,272,280
01.06.21,111,107
02.06.21,122,116
03.06.21,134,149
04.06.21,164,167
05.06.21,155,159
06.06.21,191,182
07.06.21,156,142
08.06.21,117,117
09.06.21,115,114
10.06.21,145,167
11.06.21,170,185
12.06.21,163,157
13.06.21,194,181
14.06.21,144,145
15.06.21,109,108
16.06.21,140,121
17.06.21,151,171
18.06.21,194,203
19.06.21,178,184
20.06.21,198,200
21.06.21,183,163
22.06.21,120,118
23.06.21,127,120
24.06.21,171,188
25.06.21,203,225
26.06.21,198,186
27.06.21,202,199
28.06.21,171,167
29.06.21,129,121
30.06.21,146,143
01.05.21,106,114
02.05.21,120,116
03.05.21,99,85
04.05.21,71,69
05.05.21,99,91
06.05.21,84,100
07.05.21,126,141
08.05.21,136,126
09.05.21,123,120
10.05.21,112,100
11.05.21,85,89
12.05.21,106,121
13.05.21,120,125
14.05.21,119,119
15.05.21,111,117
16.05.21,178,157
17.05.21,121,117
18.05.21,87,89
19.05.21,96,97
20.05.21,111,123
21.05.21,168,178
22.05.21,146,150
23.05.21,122,119
24.05.21,166,139
25.05.21,96,99
26.05.21,94,95
27.05.21,118,117
28.05.21,145,160
29.05.21,140,143
30.05.21,161,167
31.05.21,142,131
01.04.21,132,138
02.04.21,119,125
03.04.21,102,101
04.04.21,93,91
05.04.21,115,102
06.04.21,84,85
07.04.21,71,70
08.04.21,84,99
09.04.21,107,122
10.04.21,116,114
11.04.21,136,134
12.04.21,98,87
13.04.21,74,69
14.04.21,76,81
15.04.21,89,93
16.04.21,110,127
17.04.21,112,107
18.04.21,124,119
19.04.21,95,94
20.04.21,70,74
21.04.21,89,78
22.04.21,93,94
23.04.21,124,130
24.04.21,118,123
25.04.21,123,114
26.04.21,88,88
27.04.21,66,60
28.04.21,85,83
29.04.21,82,98
30.04.21,117,121
01.03.21,79,66
02.03.21,53,57
03.03.21,72,68
04.03.21,77,81
05.03.21,81,88
06.03.21,74,74
07.03.21,94,87
08.03.21,86,78
09.03.21,60,57
10.03.21,67,71
11.03.21,73,75
12.03.21,73,85
13.03.21,67,68
14.03.21,100,85
15.03.21,75,74
16.03.21,60,56
17.03.21,69,65
18.03.21,87,91
19.03.21,92,106
20.03.21,84,86
21.03.21,96,92
22.03.21,75,78
23.03.21,64,62
24.03.21,79,82
25.03.21,95,96
26.03.21,101,116
27.03.21,111,112
28.03.21,118,110
29.03.21,100,95
30.03.21,74,75
31.03.21,86,89
01.02.21,64,61
02.02.21,52,52
03.02.21,55,61
04.02.21,74,75
05.02.21,75,84
06.02.21,72,69
07.02.21,89,79
08.02.21,64,60
09.02.21,50,48
10.02.21,50,52
11.02.21,70,70
12.02.21,92,99
13.02.21,80,86
14.02.21,89,72
15.02.21,70,69
16.02.21,54,56
17.02.21,51,53
18.02.21,68,79
19.02.21,85,91
20.02.21,90,92
21.02.21,98,92
22.02.21,66,69
23.02.21,53,50
24.02.21,71,69
25.02.21,60,66
26.02.21,81,89
27.02.21,90,97
28.02.21,90,88
01.01.21,61,64
02.01.21,122,120
03.01.21,156,155
04.01.21,116,107
05.01.21,64,74
06.01.21,83,89
07.01.21,94,96
08.01.21,100,104
09.01.21,104,101
10.01.21,128,127
11.01.21,101,94
12.01.21,65,57
13.01.21,65,71
14.01.21,93,92
15.01.21,86,100
16.01.21,85,82
17.01.21,92,84
18.01.21,80,80
19.01.21,47,58
20.01.21,59,65
21.01.21,67,69
22.01.21,82,83
23.01.21,68,67
24.01.21,93,86
25.01.21,63,68
26.01.21,55,52
27.01.21,60,55
28.01.21,63,74
29.01.21,84,90
30.01.21,71,71
31.01.21,97,86
01.12.20,48,52
02.12.20,77,76
03.12.20,94,99
04.12.20,102,104
05.12.20,83,89
06.12.20,94,89
07.12.20,101,91
08.12.20,63,69
09.12.20,81,78
10.12.20,86,92
11.12.20,110,121
12.12.20,89,89
13.12.20,109,107
14.12.20,101,86
15.12.20,79,81
16.12.20,94,97
17.12.20,119,127
18.12.20,160,163
19.12.20,161,166
20.12.20,153,148
21.12.20,125,120
22.12.20,90,95
23.12.20,118,114
24.12.20,87,83
25.12.20,80,84
26.12.20,106,114
27.12.20,122,117
28.12.20,108,110
29.12.20,75,72
30.12.20,102,98
31.12.20,56,60
01.11.20,136,127
02.11.20,108,103
03.11.20,69,70
04.11.20,87,78
05.11.20,88,98
06.11.20,103,112
07.11.20,87,101
08.11.20,112,99
09.11.20,97,87
10.11.20,56,62
11.11.20,80,75
12.11.20,87,101
13.11.20,92,103
14.11.20,84,90
15.11.20,109,97
16.11.20,102,89
17.11.20,61,68
18.11.20,72,72
19.11.20,84,89
20.11.20,94,106
21.11.20,74,82
22.11.20,88,84
23.11.20,86,71
24.11.20,65,66
25.11.20,70,70
26.11.20,83,78
27.11.20,92,107
28.11.20,82,80
29.11.20,94,88
30.11.20,99,100
01.10.20,142,135
02.10.20,148,164
03.10.20,161,164
04.10.20,167,167
05.10.20,149,135
06.10.20,112,100
07.10.20,122,129
08.10.20,125,124
09.10.20,166,171
10.10.20,155,162
11.10.20,178,179
12.10.20,142,133
13.10.20,99,104
14.10.20,122,120
15.10.20,116,119
16.10.20,154,168
17.10.20,153,159
18.10.20,167,154
19.10.20,119,120
20.10.20,87,86
21.10.20,92,91
22.10.20,103,110
23.10.20,127,137
24.10.20,138,134
25.10.20,125,119
26.10.20,124,111
27.10.20,85,84
28.10.20,95,91
29.10.20,98,113
30.10.20,128,126
31.10.20,98,111
01.09.20,131,133
02.09.20,131,129
03.09.20,155,156
04.09.20,173,185
05.09.20,164,168
06.09.20,181,173
07.09.20,166,158
08.09.20,108,116
09.09.20,130,136
10.09.20,149,140
11.09.20,182,184
12.09.20,153,164
13.09.20,183,178
14.09.20,147,140
15.09.20,111,115
16.09.20,131,144
17.09.20,140,134
18.09.20,170,171
19.09.20,157,160
20.09.20,182,175
21.09.20,147,130
22.09.20,105,131
23.09.20,132,128
24.09.20,125,130
25.09.20,168,177
26.09.20,154,152
27.09.20,174,174
28.09.20,148,140
29.09.20,117,118
30.09.20,125,132
01.08.20,183,193
02.08.20,196,186
03.08.20,176,167
04.08.20,130,131
05.08.20,151,151
06.08.20,162,166
07.08.20,177,188
08.08.20,199,205
09.08.20,204,186
10.08.20,160,169
11.08.20,125,125
12.08.20,150,146
13.08.20,160,158
14.08.20,164,180
15.08.20,199,196
16.08.20,197,193
17.08.20,173,168
18.08.20,122,118
19.08.20,142,140
20.08.20,138,146
21.08.20,175,182
22.08.20,174,178
23.08.20,183,170
24.08.20,155,151
25.08.20,121,115
26.08.20,133,136
27.08.20,148,153
28.08.20,175,187
29.08.20,165,166
30.08.20,174,169
31.08.20,165,162
01.07.20,122,130
02.07.20,124,130
03.07.20,149,158
04.07.20,130,135
05.07.20,149,140
06.07.20,136,129
07.07.20,118,122
08.07.20,140,135
09.07.20,136,141
10.07.20,158,171
11.07.20,157,157
12.07.20,158,149
13.07.20,150,148
14.07.20,116,114
15.07.20,139,143
16.07.20,146,153
17.07.20,162,163
18.07.20,163,167
19.07.20,165,162
20.07.20,165,154
21.07.20,113,121
22.07.20,149,148
23.07.20,152,158
24.07.20,157,159
25.07.20,178,181
26.07.20,173,166
27.07.20,159,155
28.07.20,121,122
29.07.20,144,144
30.07.20,145,144
31.07.20,173,185
01.06.20,49,46
02.06.20,39,39
03.06.20,47,47
04.06.20,60,58
05.06.20,80,78
06.06.20,50,47
07.06.20,67,67
08.06.20,71,73
09.06.20,35,41
10.06.20,54,49
11.06.20,49,49
12.06.20,63,63
13.06.20,63,60
14.06.20,67,68
15.06.20,103,95
16.06.20,60,56
17.06.20,72,73
18.06.20,78,75
19.06.20,101,102
20.06.20,80,86
21.06.20,94,93
22.06.20,109,99
23.06.20,66,65
24.06.20,78,81
25.06.20,87,91
26.06.20,101,107
27.06.20,89,86
28.06.20,96,91
29.06.20,112,102
30.06.20,81,77
01.05.20,32,30
02.05.20,21,22
03.05.20,28,34
04.05.20,28,32
05.05.20,23,17
06.05.20,23,27
07.05.20,33,36
08.05.20,41,43
09.05.20,26,34
10.05.20,34,33
11.05.20,33,35
12.05.20,32,30
13.05.20,30,35
14.05.20,49,44
15.05.20,49,44
16.05.20,31,34
17.05.20,37,40
18.05.20,39,34
19.05.20,38,32
20.05.20,53,54
21.05.20,44,44
22.05.20,32,30
23.05.20,22,25
24.05.20,60,48
25.05.20,45,50
26.05.20,47,48
27.05.20,45,46
28.05.20,45,39
29.05.20,60,52
30.05.20,30,43
31.05.20,36,33
01.04.20,36,38
02.04.20,24,26
03.04.20,36,34
04.04.20,26,26
05.04.20,39,32
06.04.20,22,23
07.04.20,21,22
08.04.20,27,33
09.04.20,26,22
10.04.20,23,23
11.04.20,17,19
12.04.20,27,26
13.04.20,20,25
14.04.20,14,10
15.04.20,22,23
16.04.20,34,29
17.04.20,36,33
18.04.20,25,25
19.04.20,25,23
20.04.20,16,19
21.04.20,20,26
22.04.20,26,22
23.04.20,29,31
24.04.20,33,35
25.04.20,24,21
26.04.20,25,26
27.04.20,27,25
28.04.20,19,24
29.04.20,26,28
30.04.20,28,23
01.03.20,318,327
02.03.20,332,323
03.03.20,317,306
04.03.20,326,321
05.03.20,327,330
06.03.20,330,337
07.03.20,276,274
08.03.20,315,311
09.03.20,287,279
10.03.20,235,218
11.03.20,222,239
12.03.20,252,256
13.03.20,278,269
14.03.20,219,223
15.03.20,237,233
16.03.20,176,177
17.03.20,146,152
18.03.20,112,118
19.03.20,110,109
20.03.20,107,123
21.03.20,78,77
22.03.20,75,80
23.03.20,46,42
24.03.20,35,34
25.03.20,40,40
26.03.20,44,45
27.03.20,46,52
28.03.20,27,23
29.03.20,35,40
30.03.20,35,34
31.03.20,25,29
01.02.20,264,274
02.02.20,318,310
03.02.20,330,338
04.02.20,310,304
05.02.20,330,315
06.02.20,324,331
07.02.20,344,344
08.02.20,277,286
09.02.20,287,278
10.02.20,227,242
11.02.20,299,296
12.02.20,320,313
13.02.20,318,310
14.02.20,347,351
15.02.20,290,292
16.02.20,320,319
17.02.20,312,324
18.02.20,307,293
19.02.20,327,328
20.02.20,335,332
21.02.20,349,349
22.02.20,294,303
23.02.20,334,320
24.02.20,325,335
25.02.20,320,317
26.02.20,317,319
27.02.20,342,337
28.02.20,358,360
29.02.20,287,291
01.01.20,280,283
02.01.20,335,331
03.01.20,333,338
04.01.20,299,297
05.01.20,350,347
06.01.20,325,329
07.01.20,309,300
08.01.20,310,320
09.01.20,323,325
10.01.20,343,347
11.01.20,271,273
12.01.20,336,317
13.01.20,312,315
14.01.20,298,296
15.01.20,327,327
16.01.20,326,328
17.01.20,342,349
18.01.20,268,275
19.01.20,350,348
20.01.20,391,368
21.01.20,358,324
22.01.20,334,342
23.01.20,343,377
24.01.20,401,418
25.01.20,266,281
26.01.20,329,317
27.01.20,313,320
28.01.20,293,289
29.01.20,319,316
30.01.20,322,317
31.01.20,334,336
01.12.19,326,333
02.12.19,335,334
03.12.19,305,306
04.12.19,330,339
05.12.19,329,330
06.12.19,352,346
07.12.19,261,266
08.12.19,328,321
09.12.19,357,355
10.12.19,310,310
11.12.19,336,348
12.12.19,344,338
13.12.19,353,350
14.12.19,282,282
15.12.19,330,326
16.12.19,338,342
17.12.19,312,312
18.12.19,337,339
19.12.19,353,348
20.12.19,368,379
21.12.19,319,319
22.12.19,343,333
23.12.19,331,337
24.12.19,272,267
25.12.19,259,260
26.12.19,321,325
27.12.19,342,349
28.12.19,290,286
29.12.19,315,315
30.12.19,313,314
31.12.19,264,264
01.11.19,353,352
02.11.19,277,282
03.11.19,328,324
04.11.19,348,342
05.11.19,327,325
06.11.19,335,343
07.11.19,330,328
08.11.19,358,361
09.11.19,286,280
10.11.19,333,343
11.11.19,336,336
12.11.19,311,302
13.11.19,326,329
14.11.19,326,329
15.11.19,357,360
16.11.19,278,272
17.11.19,332,331
18.11.19,345,341
19.11.19,318,316
20.11.19,343,342
21.11.19,331,341
22.11.19,359,358
23.11.19,272,270
24.11.19,322,330
25.11.19,334,331
26.11.19,316,312
27.11.19,330,327
28.11.19,339,339
29.11.19,351,350
30.11.19,256,262
01.10.19,371,374
02.10.19,407,400
03.10.19,392,392
04.10.19,412,419
05.10.19,373,376
06.10.19,402,399
07.10.19,393,397
08.10.19,380,372
09.10.19,403,409
10.10.19,391,398
11.10.19,413,418
12.10.19,361,361
13.10.19,402,397
14.10.19,395,398
15.10.19,348,345
16.10.19,378,380
17.10.19,384,393
18.10.19,398,403
19.10.19,380,371
20.10.19,405,398
21.10.19,397,399
22.10.19,372,372
23.10.19,382,381
24.10.19,397,393
25.10.19,390,400
26.10.19,348,348
27.10.19,354,354
28.10.19,352,349
29.10.19,327,319
30.10.19,343,352
31.10.19,355,353
01.09.19,392,396
02.09.19,414,406
03.09.19,409,393
04.09.19,414,419
05.09.19,400,408
06.09.19,402,409
07.09.19,360,355
08.09.19,409,406
09.09.19,405,403
10.09.19,382,381
11.09.19,418,416
12.09.19,404,412
13.09.19,409,419
14.09.19,365,361
15.09.19,399,405
16.09.19,411,408
17.09.19,387,383
18.09.19,406,402
19.09.19,408,414
20.09.19,405,409
21.09.19,357,359
22.09.19,406,407
23.09.19,400,404
24.09.19,386,380
25.09.19,403,404
26.09.19,400,399
27.09.19,411,413
28.09.19,366,368
29.09.19,407,401
30.09.19,399,394
01.08.19,385,388
02.08.19,400,395
03.08.19,377,377
04.08.19,406,413
05.08.19,410,402
06.08.19,381,376
07.08.19,386,385
08.08.19,393,396
09.08.19,396,401
10.08.19,376,383
11.08.19,401,400
12.08.19,410,397
13.08.19,379,384
14.08.19,401,402
15.08.19,395,394
16.08.19,404,410
17.08.19,384,384
18.08.19,411,414
19.08.19,406,408
20.08.19,387,381
21.08.19,401,399
22.08.19,394,389
23.08.19,423,421
24.08.19,371,375
25.08.19,397,403
26.08.19,404,401
27.08.19,389,379
28.08.19,402,413
29.08.19,400,399
30.08.19,416,418
31.08.19,371,368
01.07.19,409,403
02.07.19,398,406
03.07.19,414,409
04.07.19,415,418
05.07.19,422,437
06.07.19,375,380
07.07.19,396,387
08.07.19,420,411
09.07.19,402,402
10.07.19,421,419
11.07.19,406,414
12.07.19,418,417
13.07.19,391,398
14.07.19,416,424
15.07.19,414,404
16.07.19,384,389
17.07.19,406,407
18.07.19,414,415
19.07.19,413,422
20.07.19,372,377
21.07.19,409,397
22.07.19,419,411
23.07.19,393,388
24.07.19,411,419
25.07.19,404,407
26.07.19,410,408
27.07.19,373,384
28.07.19,406,401
29.07.19,412,407
30.07.19,381,386
31.07.19,407,409
01.06.19,361,365
02.06.19,425,406
03.06.19,399,403
04.06.19,380,382
05.06.19,417,415
06.06.19,393,392
07.06.19,423,429
08.06.19,362,366
09.06.19,395,395
10.06.19,412,389
11.06.19,401,405
12.06.19,422,423
13.06.19,408,414
14.06.19,417,418
15.06.19,373,371
16.06.19,406,406
17.06.19,409,414
18.06.19,387,394
19.06.19,419,420
20.06.19,397,402
21.06.19,414,414
22.06.19,368,369
23.06.19,404,401
24.06.19,414,412
25.06.19,400,393
26.06.19,410,416
27.06.19,393,400
28.06.19,411,413
29.06.19,374,379
30.06.19,413,410
01.05.19,368,374
02.05.19,377,378
03.05.19,393,393
04.05.19,358,357
05.05.19,390,375
06.05.19,390,391
07.05.19,389,389
08.05.19,388,390
09.05.19,377,381
10.05.19,406,405
11.05.19,358,363
12.05.19,377,379
13.05.19,409,394
14.05.19,370,379
15.05.19,406,394
16.05.19,396,406
17.05.19,407,410
18.05.19,355,351
19.05.19,384,386
20.05.19,402,393
21.05.19,366,374
22.05.19,396,387
23.05.19,394,401
24.05.19,415,409
25.05.19,355,361
26.05.19,385,382
27.05.19,405,407
28.05.19,373,374
29.05.19,406,408
30.05.19,376,388
31.05.19,399,398
01.04.19,380,377
02.04.19,373,372
03.04.19,372,374
04.04.19,377,376
05.04.19,396,395
06.04.19,352,355
07.04.19,376,377
08.04.19,399,387
09.04.19,373,383
10.04.19,379,378
11.04.19,391,386
12.04.19,398,401
13.04.19,353,358
14.04.19,384,377
15.04.19,382,389
16.04.19,377,370
17.04.19,381,388
18.04.19,405,417
19.04.19,389,395
20.04.19,346,349
21.04.19,364,364
22.04.19,390,379
23.04.19,374,368
24.04.19,371,370
25.04.19,389,391
26.04.19,386,393
27.04.19,357,359
28.04.19,388,381
29.04.19,384,381
30.04.19,363,366
01.03.19,367,368
02.03.19,303,303
03.03.19,341,342
04.03.19,355,348
05.03.19,332,320
06.03.19,348,350
07.03.19,360,357
08.03.19,376,370
09.03.19,296,304
10.03.19,343,350
11.03.19,351,347
12.03.19,331,326
13.03.19,346,348
14.03.19,362,364
15.03.19,373,365
16.03.19,299,302
17.03.19,349,349
18.03.19,362,366
19.03.19,343,337
20.03.19,346,359
21.03.19,359,359
22.03.19,373,365
23.03.19,295,304
24.03.19,343,345
25.03.19,372,360
26.03.19,349,349
27.03.19,354,357
28.03.19,362,356
29.03.19,375,380
30.03.19,302,307
31.03.19,354,358
01.02.19,360,351
02.02.19,278,282
03.02.19,314,328
04.02.19,331,323
05.02.19,341,325
06.02.19,336,345
07.02.19,341,344
08.02.19,355,361
09.02.19,309,298
10.02.19,328,337
11.02.19,340,340
12.02.19,334,322
13.02.19,337,351
14.02.19,354,360
15.02.19,365,364
16.02.19,316,309
17.02.19,346,349
18.02.19,339,340
19.02.19,339,336
20.02.19,356,354
21.02.19,371,369
22.02.19,372,380
23.02.19,323,317
24.02.19,352,354
25.02.19,352,351
26.02.19,338,330
27.02.19,362,370
28.02.19,357,364
01.01.19,298,294
02.01.19,351,353
03.01.19,337,336
04.01.19,356,358
05.01.19,315,317
06.01.19,354,355
07.01.19,349,348
08.01.19,334,320
09.01.19,340,341
10.01.19,317,319
11.01.19,348,348
12.01.19,285,293
13.01.19,339,339
14.01.19,339,339
15.01.19,330,325
16.01.19,337,347
17.01.19,349,347
18.01.19,372,374
19.01.19,289,298
20.01.19,358,355
21.01.19,410,386
22.01.19,366,339
23.01.19,360,357
24.01.19,377,394
25.01.19,411,447
26.01.19,304,300
27.01.19,328,336
28.01.19,338,343
29.01.19,328,318
30.01.19,338,336
31.01.19,351,353
